id,name,price,description
1,Subaru,39,Proactive background access
2,Infiniti,31,Compatible bandwidth-monitored monitoring
3,Volkswagen,73,Open-architected 5th generation artificial intelligence
4,Ford,56,Managed incremental approach
5,Buick,32,Persevering contextually-based adapter
6,Daihatsu,10,Diverse clear-thinking complexity
7,Toyota,63,Reverse-engineered dynamic challenge
8,Mazda,78,Public-key bi-directional adapter
9,Porsche,47,Quality-focused systematic knowledge base
10,Ford,81,Mandatory incremental service-desk
11,Pontiac,76,Diverse clear-thinking monitoring
12,Mercedes-Benz,23,Adaptive national solution
13,Dodge,62,Horizontal system-worthy paradigm
14,GMC,6,Mandatory actuating encryption
15,Nissan,33,Exclusive fault-tolerant matrix
16,Cadillac,6,Automated reciprocal array
17,Dodge,26,Operative content-based throughput
18,Volvo,62,Versatile value-added benchmark
19,Jeep,64,Ameliorated uniform focus group
20,Dodge,62,Streamlined actuating function
21,Honda,59,Triple-buffered secondary extranet
22,Mitsubishi,37,Realigned 24/7 architecture
23,Toyota,14,Organic 4th generation architecture
24,Ford,93,Optimized logistical utilisation
25,Jeep,71,Organic user-facing service-desk
26,Dodge,24,Extended context-sensitive collaboration
27,Ford,31,Synergistic multi-tasking toolset
28,Cadillac,57,Diverse executive knowledge user
29,Mercedes-Benz,7,Versatile discrete strategy
30,Chevrolet,87,Implemented bifurcated database
31,Suzuki,71,Intuitive even-keeled initiative
32,Buick,94,Persistent mission-critical array
33,Toyota,9,Synergized zero tolerance open system
34,GMC,22,Down-sized fresh-thinking functionalities
35,Honda,71,Proactive 24 hour standardization
36,Audi,81,Sharable global archive
37,Ford,51,Profound didactic productivity
38,Volkswagen,59,Operative systematic hardware
39,Hyundai,50,Phased solution-oriented forecast
40,GMC,14,Universal neutral product
41,Chrysler,54,Configurable interactive budgetary management
42,Chevrolet,70,Multi-channelled impactful hierarchy
43,Aston Martin,20,Profound full-range capability
44,Dodge,8,Integrated optimizing database
45,Chevrolet,4,Centralized exuding data-warehouse
46,Volkswagen,2,Sharable zero tolerance info-mediaries
47,Hyundai,81,Decentralized neutral approach
48,Toyota,95,Mandatory discrete budgetary management
49,Subaru,2,Cloned 3rd generation open architecture
50,Mercury,24,Seamless demand-driven workforce
51,Lexus,100,Open-architected cohesive secured line
52,Chevrolet,42,Realigned dynamic frame
53,Pontiac,88,Extended optimal infrastructure
54,Volvo,81,Function-based asymmetric conglomeration
55,Dodge,42,Quality-focused upward-trending standardization
56,Ford,31,Progressive user-facing success
57,Hyundai,73,Managed tangible parallelism
58,Dodge,34,Face to face regional middleware
59,BMW,1,Intuitive 4th generation infrastructure
60,Chevrolet,64,Business-focused national support
61,Ford,92,Synergistic cohesive protocol
62,Hyundai,96,Digitized clear-thinking database
63,Chevrolet,24,Reverse-engineered executive strategy
64,Toyota,29,Persistent optimal internet solution
65,Lincoln,94,Robust zero administration analyzer
66,Chevrolet,36,Synergized real-time methodology
67,Pontiac,18,Reverse-engineered demand-driven leverage
68,Honda,79,Multi-layered clear-thinking help-desk
69,Plymouth,100,Open-architected grid-enabled attitude
70,GMC,36,Horizontal 24 hour solution
71,Ford,20,Open-architected well-modulated solution
72,Ford,52,Seamless client-server strategy
73,Nissan,43,Open-source intangible encryption
74,Mercedes-Benz,99,Realigned fault-tolerant protocol
75,Porsche,65,Reactive non-volatile process improvement
76,Buick,83,Persevering multi-state software
77,GMC,67,Polarised didactic parallelism
78,Dodge,87,Networked multimedia knowledge user
79,Oldsmobile,61,Decentralized well-modulated algorithm
80,Aston Martin,80,Switchable global task-force
81,Nissan,23,Up-sized actuating internet solution
82,Studebaker,37,Total object-oriented portal
83,Buick,3,Fundamental reciprocal throughput
84,Ford,87,Proactive tertiary open architecture
85,Volvo,19,Open-architected zero defect groupware
86,Chevrolet,28,Centralized full-range portal
87,Chevrolet,49,Organized uniform standardization
88,Audi,81,Intuitive modular parallelism
89,GMC,95,Compatible discrete budgetary management
90,Nissan,88,Reactive reciprocal hub
91,Ford,81,Assimilated full-range application
92,Mercury,5,Organic full-range implementation
93,Mercedes-Benz,83,Object-based even-keeled projection
94,Chevrolet,20,Secured global throughput
95,Land Rover,77,Pre-emptive responsive local area network
96,Acura,12,Cross-platform interactive project
97,Volkswagen,37,Multi-lateral homogeneous product
98,Geo,64,Up-sized analyzing solution
99,Porsche,52,Upgradable mobile matrices
100,Saab,87,Proactive dedicated Graphical User Interface
101,Chevrolet,27,Focused holistic conglomeration
102,GMC,34,Persistent neutral access
103,Subaru,8,Customizable eco-centric solution
104,Volkswagen,83,Ergonomic non-volatile groupware
105,Honda,19,Persevering neutral moderator
106,Ford,23,User-centric multi-state strategy
107,Plymouth,3,Streamlined systemic architecture
108,GMC,56,Team-oriented multi-state support
109,Hyundai,14,Customer-focused contextually-based strategy
110,Mercedes-Benz,21,Fully-configurable non-volatile moratorium
111,Volkswagen,51,Advanced fresh-thinking open system
112,Chevrolet,31,Sharable human-resource firmware
113,Hyundai,27,Enhanced next generation challenge
114,Mitsubishi,77,Synchronised motivating artificial intelligence
115,Hillman,78,Open-source 4th generation moratorium
116,BMW,69,Programmable clear-thinking complexity
